,pl_name,sy_snum,discoverymethod,disc_year,pl_radj,pl_bmassj
1578,WASP-24 b,3,Transit,2010.0,1.3014999999999999,1.0899999999999999
1579,WASP-25 b,1,Transit,2010.0,1.22,0.577
1580,WASP-26 b,2,Transit,2010.0,1.281,1.02
1581,WASP-28 b,1,Transit,2014.0,1.219,0.906
1582,WASP-29 b,1,Transit,2010.0,0.784,0.244
1583,WASP-3 b,3,Transit,2007.0,1.408,1.935
1584,WASP-31 b,1,Transit,2010.0,1.549,0.479
1585,WASP-32 b,1,Transit,2010.0,1.1400000000000001,3.545
1586,WASP-33 b,2,Transit,2010.0,1.5965,2.6864999999999997
1587,WASP-34 b,1,Transit,2010.0,1.22,0.583
1588,WASP-35 b,1,Transit,2011.0,1.32,0.71
1589,WASP-36 b,2,Transit,2011.0,1.281,2.296
1590,WASP-37 b,1,Transit,2010.0,1.16,1.76
1591,WASP-38 b,1,Transit,2010.0,1.092,2.7
1592,WASP-39 b,1,Transit,2011.0,1.27,0.28
1593,WASP-4 b,1,Transit,2007.0,1.349,1.216
1594,WASP-41 b,1,Transit,2011.0,1.18,0.94
1595,WASP-42 b,1,Transit,2012.0,1.08,0.501
1596,WASP-43 b,1,Transit,2011.0,0.968,1.899
1597,WASP-44 b,1,Transit,2011.0,1.1,0.87
1598,WASP-45 b,2,Transit,2011.0,1.14,1.003
1599,WASP-46 b,1,Transit,2011.0,1.174,1.91
1600,WASP-47 b,1,Transit,2012.0,1.13658667,1.143224085
1601,WASP-47 d,1,Transit,2015.0,0.32117049,0.0446782
1602,WASP-47 e,1,Transit,2015.0,0.16178963000000002,0.025265205
1603,WASP-48 b,1,Transit,2011.0,1.67,0.98
1604,WASP-49 b,2,Transit,2012.0,1.115,0.3885
1605,WASP-5 b,1,Transit,2008.0,1.1655,1.58
1606,WASP-50 b,1,Transit,2011.0,1.153,1.4688
1607,WASP-52 b,1,Transit,2012.0,1.2614999999999998,0.4595
1608,WASP-53 b,1,Transit,2017.0,1.074,2.132
1609,WASP-54 b,2,Transit,2012.0,1.653,0.606
1610,WASP-55 b,2,Transit,2012.0,1.314,0.586
1611,WASP-56 b,2,Transit,2012.0,1.092,0.571
1612,WASP-57 b,1,Transit,2012.0,1.05,0.644
1613,WASP-58 b,2,Transit,2012.0,1.37,0.899
1614,WASP-59 b,1,Transit,2012.0,0.775,0.863
1615,WASP-6 b,1,Transit,2009.0,1.222,0.484
1616,WASP-60 b,1,Transit,2012.0,0.87,0.532
1617,WASP-61 b,1,Transit,2012.0,1.24,2.06
1618,WASP-62 b,1,Transit,2012.0,1.365,0.569
1619,WASP-63 b,1,Transit,2012.0,1.41,0.37
1620,WASP-64 b,2,Transit,2012.0,1.271,1.246
1621,WASP-65 b,1,Transit,2013.0,1.112,1.545
1622,WASP-66 b,1,Transit,2012.0,1.39,2.335
1623,WASP-67 b,1,Transit,2012.0,1.275,0.42
1624,WASP-68 b,2,Transit,2014.0,1.24,0.957
1625,WASP-69 b,1,Transit,2014.0,1.057,0.26
1626,WASP-7 b,1,Transit,2008.0,1.3465,0.97
1627,WASP-70 A b,2,Transit,2014.0,1.164,0.5934999999999999
1628,WASP-71 b,1,Transit,2012.0,1.405,2.181
1629,WASP-72 b,1,Transit,2012.0,1.27,1.5461
1630,WASP-73 b,1,Transit,2014.0,1.16,1.88
1631,WASP-74 b,1,Transit,2015.0,1.482,0.885
1632,WASP-75 b,2,Transit,2013.0,1.27,1.0715
1633,WASP-76 b,2,Transit,2016.0,1.8375,0.902
1634,WASP-77 A b,2,Transit,2012.0,1.21,1.7614999999999998
1635,WASP-78 b,1,Transit,2012.0,1.815,0.875
1636,WASP-79 b,1,Transit,2012.0,1.67,0.85
1637,WASP-8 b,2,Transit,2010.0,1.038,2.2
1638,WASP-80 b,1,Transit,2012.0,0.952,0.55
1639,WASP-81 b,1,Transit,2017.0,1.429,0.729
1640,WASP-82 b,1,Transit,2015.0,1.67,1.24
